,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
35,Massachusetts,6725678,3740,5893936,18618,634359,17901,132642,7404,269,321,Massachusetts,459,354,2110,1052,576,485,9519,1989,2046,808,Massachusetts,8283,1681,709,526,1213,496,11835,3149,2383,968,Massachusetts,228,201,422,291,3192,1062,1267,831,0,200,Massachusetts,236,238,122,148,561,455,3417,953,3696,1455,Massachusetts,,,1086,594,1433,639,499,274,1568,1056,Massachusetts,30,53,300,221,758,647,8220,2093,7201,1587,Massachusetts,326,359,23014,3794,2114,817,96,162,1377,496,Massachusetts,500,323,967,496,7538,2056,7407,1678,1115,602,Massachusetts,0,200,316,330,4398,1324,405,247,3046,1168,Massachusetts,3444,1156,1828,955,286,242,827,675,0,200,Massachusetts,64741,6266,4520,1813,1104,1033,59117,5679
36,Michigan,9811416,4125,8394658,25486,1229302,23453,142639,8234,1387,768,Michigan,1701,1310,4007,1283,992,748,10202,2159,1993,691,Michigan,764,335,114,161,445,279,11547,1987,3687,1379,Michigan,847,408,725,748,13252,2542,9300,2577,594,323,Michigan,2267,1286,2111,847,1291,943,590,421,1214,607,Michigan,3158,1098,,,3209,1038,633,300,3104,1053,Michigan,683,650,395,370,2044,1052,397,294,1359,480,Michigan,868,495,4343,1255,3285,1309,879,454,14593,2588,Michigan,753,442,892,542,5737,1996,271,282,1427,579,Michigan,558,374,4846,2054,8466,1687,555,667,189,190,Michigan,2836,1122,1951,790,885,678,5136,1378,157,161,Michigan,44817,5346,643,601,0,167,44174,5210
37,Minnesota,5419822,3620,4618325,19800,661383,18661,108476,7030,105,100,Minnesota,363,273,3978,1364,405,267,6739,1879,2709,965,Minnesota,578,582,34,57,282,223,3502,1143,1344,632,Minnesota,270,280,486,352,6974,1608,965,572,6996,2447,Minnesota,1272,566,608,404,382,365,77,95,1270,1211,Minnesota,1369,755,2742,848,,,220,253,1812,825,Minnesota,760,345,2073,696,427,298,455,434,419,284,Minnesota,712,566,3529,1368,2622,1438,7636,1500,2525,2156,Minnesota,661,336,864,724,662,318,144,140,330,303,Minnesota,5362,1346,1773,1220,4814,1405,1100,649,12,21,Minnesota,4014,1795,2404,979,34,46,18934,2886,728,738,Minnesota,31638,4705,706,1023,186,154,30746,4553
38,Mississippi,2959289,2681,2554660,15529,327854,16330,69351,6816,6827,1858,Mississippi,474,529,337,351,1497,903,3566,1193,522,361,Mississippi,0,207,0,207,0,207,6113,1628,3111,1197,Mississippi,235,214,262,261,1371,856,757,883,328,298,Mississippi,162,152,1002,970,8678,2671,0,207,681,586,Mississippi,906,770,957,428,10,21,,,702,537,Mississippi,248,258,18,43,732,592,0,207,1604,1419,Mississippi,106,185,271,222,1088,651,0,207,1109,874,Mississippi,1190,730,97,108,360,390,0,207,731,485,Mississippi,0,207,9494,2074,8842,2243,70,120,0,207,Mississippi,1794,822,1589,1444,725,618,754,518,31,40,Mississippi,7424,1551,104,109,0,207,7320,1552
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Missouri,6015580,3399,5056661,24391,777061,22731,159152,8254,1449,889,Missouri,920,747,3305,1362,7887,1884,9646,2219,4791,1640,Missouri,268,205,254,323,405,257,7190,2021,2055,883,Missouri,1357,779,915,1159,23915,4061,3563,1239,6004,2032,Missouri,20834,3254,1724,1169,690,483,275,322,918,486,Missouri,1719,814,1647,800,2813,1067,1930,1022,,,Missouri,99,121,3820,1671,1600,1054,137,159,1291,722,Missouri,685,432,3176,1271,4526,1760,392,450,4660,2203,Missouri,4893,1805,2044,1511,1901,866,200,166,1360,1085,Missouri,858,523,2940,1135,9634,2103,955,624,0,182,Missouri,1867,1173,2611,1242,498,363,1932,1076,599,752,Missouri,22706,2811,1323,1210,307,404,21076,2576
41,Montana,1019646,1426,855861,9601,118200,7821,42760,6511,0,165,Montana,657,411,1187,624,320,378,4339,1223,3268,1204,Montana,0,165,0,165,0,165,955,893,568,447,Montana,99,130,5182,3955,1012,851,1564,1274,606,652,Montana,301,278,102,142,0,165,201,247,153,147,Montana,39,75,791,773,633,409,61,102,1452,1420,Montana,,,168,221,1151,1076,283,456,133,154,Montana,21,38,139,237,1358,973,1801,753,294,259,Montana,105,189,408,293,143,134,51,76,71,79,Montana,308,277,179,209,3235,1000,1807,1029,15,30,Montana,331,293,4959,1665,50,83,251,195,2009,998,Montana,2825,986,0,165,41,67,2784,984
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Current residence in --,Population 1 year and over,,Same house 1 year ago,,Same state of residence 1 year ago,,Different state of residence 1 year ago,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Abroad 1 year ago--,,,,,,,
44,,,,,,,,Total,,Alabama,,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,,Total,,Puerto Rico,,U.S. Island Area,,Foreign Country,
45,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nebraska,1869217,1976,1570592,11472,236217,10096,52950,4461,32,40,Nebraska,122,136,1489,662,741,597,3317,927,3571,1015,Nebraska,300,273,34,55,13,26,1805,854,556,418,Nebraska,110,143,299,420,4450,1957,539,372,6081,1400,Nebraska,3294,1294,508,376,516,645,586,735,259,301,Nebraska,40,65,753,603,2156,1168,218,269,2276,838,Nebraska,307,304,,,393,340,0,155,45,76,Nebraska,1542,951,834,548,818,573,575,489,343,319,Nebraska,1139,565,299,246,692,409,0,155,159,191,Nebraska,2117,1013,478,346,4460,1574,801,892,8,15,Nebraska,1003,500,785,455,0,155,1341,1147,746,388,Nebraska,9458,1447,389,388,0,155,9069,1434
48,Nevada,2859489,2806,2291842,18502,413831,17261,135999,9981,1830,2152,Nevada,1017,605,5598,1870,50,84,54765,7082,2058,999,Nevada,1681,1285,0,204,94,155,6001,2151,868,626,Nevada,3747,1663,2514,1831,3552,2074,2149,1171,651,432,Nevada,855,458,707,481,318,266,66,108,816,489,Nevada,792,753,2597,1062,2966,1823,152,191,778,460,Nevada,1481,1068,801,934,,,64,111,522,332,Nevada,1388,534,3317,1767,1873,1136,309,329,1205,758,Nevada,264,222,2575,990,2102,861,325,315,1374,1311,Nevada,126,213,123,144,5271,2153,5845,2050,0,204,Nevada,1932,1124,6513,2309,280,458,1144,709,543,362,Nevada,17817,2686,339,322,219,260,17259,2679
49,New Hampshire,1318121,1867,1134482,9193,122442,7927,53446,5177,125,210,New Hampshire,0,184,669,669,0,184,2609,1038,941,749,New Hampshire,2744,922,173,234,291,325,3039,986,227,227,New Hampshire,54,94,0,184,563,431,1052,1018,109,177,New Hampshire,0,184,361,516,394,556,4956,1971,307,246,New Hampshire,19187,3203,636,370,431,725,241,381,248,413,New Hampshire,0,184,84,140,128,150,,,581,359,New Hampshire,245,259,3364,1163,670,711,0,184,565,576,New Hampshire,0,184,351,333,1259,859,931,550,0,184,New Hampshire,0,184,0,184,1407,758,0,184,3233,1100,New Hampshire,1039,686,0,184,28,50,204,305,0,184,New Hampshire,7751,1908,613,630,46,77,7092,1796
50,New Jersey,8854363,4962,7987859,26012,656570,22372,144074,8425,250,211,New Jersey,839,1221,1521,782,243,290,5447,1256,768,552,New Jersey,2781,1344,1142,471,845,493,9284,2022,3630,2081,New Jersey,597,623,0,197,2438,1188,1693,831,77,102,New Jersey,275,272,205,203,1933,1448,306,265,3215,1127,New Jersey,4901,1644,1616,1296,715,486,273,346,607,442,New Jersey,0,197,214,298,716,521,517,340,,,New Jersey,935,651,50792,4749,4947,1853,48,89,1660,810,New Jersey,235,199,423,456,23371,3657,672,696,2805,1533,New Jersey,72,118,869,536,4778,2133,36,60,204,206,New Jersey,3124,1180,1152,711,457,371,240,257,206,313,New Jersey,65860,6182,2780,1517,623,582,62457,5900
51,New Mexico,2060441,2662,1767704,12817,228103,11980,55753,5781,356,355,New Mexico,278,269,3441,1655,42,72,6721,2214,5395,1656,New Mexico,161,268,0,193,0,193,2150,897,1120,744,New Mexico,638,433,611,811,1267,489,428,397,181,231,New Mexico,303,251,329,259,218,198,663,925,539,296,New Mexico,483,389,1159,896,318,214,1327,1433,343,353,New Mexico,278,298,0,193,688,378,112,177,747,595,New Mexico,,,1632,887,540,494,0,193,1322,630,New Mexico,1311,829,175,199,473,306,87,144,1098,1162,New Mexico,0,193,660,802,12101,2841,1452,936,128,149,New Mexico,2350,1097,1435,749,129,237,120,194,444,539,New Mexico,8881,1917,107,178,0,193,8774,1906
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,New York,19570171,7771,17506652,32943,1653268,29796,257611,10637,850,510,New York,1020,808,5993,1620,1054,943,25510,3545,3101,1256,New York,11684,2170,1231,713,5619,1791,26192,3101,6462,1725,New York,482,392,0,190,6499,1488,2426,958,589,371,New York,1061,903,1115,506,1790,1340,1138,502,7167,1763,New York,16726,2569,4390,1349,1876,1267,1083,816,2441,904,New York,292,239,144,219,1116,649,1668,608,34588,3135,New York,969,700,,,8543,1939,260,317,3256,895,New York,1472,893,1624,769,25385,3814,944,495,4912,1231,New York,267,253,2562,921,12082,2135,1451,559,3118,1704,New York,8333,1952,3942,1524,1083,580,1781,598,320,262,New York,152640,10397,5522,1598,301,405,146817,10064
54,North Carolina,9927547,5134,8376304,32816,1194157,27794,310612,15103,3733,1230,North Carolina,578,475,5963,2535,707,598,16985,3902,3634,1319,North Carolina,6709,2898,1676,948,3401,1465,27771,3998,17676,2824,North Carolina,2910,1238,729,787,8100,2216,4903,3085,3180,1574,North Carolina,2260,1117,4702,1472,2632,1150,1904,1085,11383,2566,North Carolina,5387,1498,6588,2158,2635,1164,721,408,3207,1349,North Carolina,576,666,1631,1571,1854,1712,1195,933,13233,3260,North Carolina,1958,1186,23594,3163,,,1176,1211,7405,1913,North Carolina,1067,637,733,582,12979,2740,838,626,27321,4245,North Carolina,1730,1235,7575,1867,15245,3038,1278,857,691,577,North Carolina,31390,3901,1883,859,3387,1134,1217,608,582,435,North Carolina,46474,4415,1125,756,472,455,44877,4316
55,North Dakota,745291,1249,608377,7924,90498,6644,42618,5171,0,151,North Dakota,196,329,1008,590,255,299,2601,1187,984,854,North Dakota,261,480,0,151,0,151,367,305,367,291,North Dakota,39,54,205,230,730,540,150,150,2500,2159,North Dakota,84,98,30,103,244,253,0,151,307,275,North Dakota,103,182,1722,1017,13712,2658,238,284,1187,1109,North Dakota,1214,726,425,321,262,408,240,340,0,151,North Dakota,223,288,1055,768,376,411,,,928,644,North Dakota,459,352,22,46,24,42,18,30,337,281,North Dakota,2300,859,420,605,3968,1837,168,165,0,151,North Dakota,121,115,1675,1241,199,302,660,302,234,250,North Dakota,3798,1097,0,151,0,151,3798,1097
56,Ohio,11482142,4883,9719944,31583,1508889,29950,203475,10154,2038,854,Ohio,1330,1033,4257,1610,1404,841,11145,2127,3137,930,Ohio,2126,810,221,244,1493,1357,12911,2229,5971,1709,Ohio,461,722,0,187,11733,2522,11837,2610,1418,1124,Ohio,1182,743,13849,2942,1273,719,643,588,3591,909,Ohio,3603,1581,13867,2636,1772,883,890,657,3246,1386,Ohio,285,308,647,659,1959,875,1510,1067,3475,1752,Ohio,443,376,11176,2687,6777,1726,329,318,,,Ohio,1058,754,1539,690,15932,3562,307,239,2804,1565,Ohio,80,83,5162,1798,11553,2554,602,411,110,191,Ohio,8655,1938,2601,1141,9059,2188,1977,783,37,60,Ohio,49834,5647,4311,1687,692,484,44831,5327
57,Oklahoma,3864908,2978,3202689,16599,532976,15499,110878,6734,957,486,Oklahoma,278,222,2495,923,6881,1832,7753,1951,4362,1436,Oklahoma,66,117,666,748,365,359,3779,1152,2757,1865,Oklahoma,679,428,317,223,3493,1249,905,648,658,388,Oklahoma,10058,2129,660,536,2604,934,304,261,1186,652,Oklahoma,1052,836,3298,1607,1015,465,712,586,3709,1336,Oklahoma,219,233,977,640,701,455,119,143,917,508,Oklahoma,2070,873,1922,1222,2083,1314,648,455,1872,614,Oklahoma,,,275,297,770,369,270,334,945,561,Oklahoma,65,109,1293,504,28642,3415,1020,515,203,200,Oklahoma,1686,838,1457,917,641,561,924,658,150,214,Oklahoma,18365,3244,303,245,164,268,17898,3232
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Oregon,3985712,3006,3277453,19786,544776,18097,141162,7834,654,843,Oregon,1617,874,6349,1908,631,677,40447,4252,3011,1092,Oregon,567,474,502,695,789,611,2795,1181,1288,569,Oregon,3476,1459,6377,2140,1653,689,826,380,1553,1056,Oregon,582,371,0,197,1601,1223,234,281,878,516,Oregon,2295,981,1644,976,2035,1149,146,166,1668,1020,Oregon,3424,1973,370,395,2855,1253,1292,1177,164,142,Oregon,685,432,2028,746,2106,1093,299,248,1720,934,Oregon,800,546,,,2018,910,189,206,1378,1005,Oregon,72,90,1190,776,4761,1360,1649,739,442,297,Oregon,2329,1266,25055,3530,106,130,1591,800,1021,704,Oregon,22321,3833,58,104,1931,1621,20332,3467
60,Pennsylvania,12662192,5055,11109753,32343,1258572,26356,232683,11644,1663,1097,Pennsylvania,368,295,2921,1059,765,526,10249,2149,3115,1746,Pennsylvania,5967,1610,7615,1735,1487,718,14676,3273,3600,1136,Pennsylvania,524,511,879,813,4054,1382,2227,1031,506,283,Pennsylvania,998,573,1855,1076,199,189,963,549,17424,3207,Pennsylvania,5285,1341,3274,1303,1799,869,1560,1654,972,427,Pennsylvania,259,251,82,133,1057,605,1685,649,41578,4446,Pennsylvania,658,342,32857,3546,7228,1867,345,288,13453,2762,Pennsylvania,776,535,1168,613,,,896,641,3263,1603,Pennsylvania,223,271,1979,753,7490,1848,2073,1594,785,460,Pennsylvania,11249,2562,1056,571,5173,1435,1731,1289,674,949,Pennsylvania,61184,5651,7933,2098,438,264,52813,5106
61,Rhode Island,1045062,1593,901338,9189,97722,7798,38344,4294,39,69,Rhode Island,93,154,647,613,0,206,1879,1261,285,272,Rhode Island,3861,1318,0,206,6,10,4363,1747,191,254,Rhode Island,18,32,244,281,265,235,53,68,0,206,Rhode Island,169,232,118,117,60,81,422,303,500,443,Rhode Island,12652,2969,61,99,58,118,37,70,355,574,Rhode Island,0,206,0,206,58,92,690,413,1380,463,Rhode Island,0,206,2951,986,1140,615,0,206,274,304,Rhode Island,0,206,394,374,1040,646,,,445,510,Rhode Island,0,206,908,776,1164,700,427,461,78,108,Rhode Island,356,338,636,521,27,39,0,206,0,206,Rhode Island,7658,2447,1029,920,292,341,6337,2178
62,South Carolina,4839984,3503,4106166,20224,543488,17723,170366,10880,1854,666,South Carolina,250,308,900,597,1612,869,5915,1629,2725,1527,South Carolina,3355,1245,214,301,262,240,16323,3454,15548,2423,South Carolina,602,423,285,237,4051,1453,2033,900,1036,855,South Carolina,676,476,3007,1531,1751,1007,1006,595,4963,2074,South Carolina,3002,1136,3496,1976,987,492,1309,801,2086,1155,South Carolina,198,179,195,243,659,425,566,402,4951,1603,South Carolina,177,163,9301,2342,31369,4968,189,245,6694,2523,South Carolina,705,552,560,345,9489,2374,628,411,,,South Carolina,70,125,5542,1514,5987,1561,1243,650,388,327,South Carolina,8736,2250,751,583,1498,861,1222,806,0,203,South Carolina,19964,3530,1030,719,288,254,18646,3389
63,South Dakota,848285,1092,702122,7738,116343,6782,26962,3687,14,29,South Dakota,289,224,1240,757,486,774,1340,647,1200,731,South Dakota,32,48,0,151,0,151,263,244,268,339,South Dakota,0,151,92,119,1075,1139,157,250,2290,1067,South Dakota,308,297,31,72,0,151,0,151,207,212,South Dakota,0,151,190,184,3878,1239,10,16,440,254,South Dakota,391,352,2606,1072,353,384,0,151,36,63,South Dakota,28,38,0,151,366,311,2669,1311,29,53,South Dakota,219,317,54,95,84,154,0,151,1138,666,South Dakota,,,404,387,1742,1035,591,703,0,151,South Dakota,358,582,126,115,0,151,532,316,1426,827,South Dakota,2858,1416,9,15,0,151,2849,1416
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tennessee,6522259,4265,5535963,28320,766524,23974,195923,11637,10291,2438,Tennessee,624,478,2513,1343,6071,2418,10032,2208,1722,1026,Tennessee,995,584,317,320,417,515,17853,3833,13585,2523,Tennessee,1124,920,354,415,6764,1848,7128,3311,1153,806,Tennessee,3227,3001,14772,3515,2784,1322,943,797,2664,1233,Tennessee,4061,1832,6454,2109,1667,1065,9473,2098,2620,1269,Tennessee,135,164,1850,1442,954,843,454,623,1549,787,Tennessee,340,407,6972,2430,11838,4061,727,956,6802,2325,Tennessee,2580,1542,522,364,2472,1048,455,645,4148,1476,Tennessee,519,689,,,11934,2875,1097,796,1397,1402,Tennessee,6382,1571,485,362,1044,674,1480,811,179,302,Tennessee,23849,3901,424,500,0,200,23425,3946
66,Texas,27092848,11293,22723345,58176,3594282,54950,553032,19120,7167,2349,Texas,2573,1149,16067,3094,14539,2462,65546,6771,22587,3583,Texas,3973,1618,2051,1399,1423,901,33670,4751,20924,4040,Texas,3342,1349,995,742,21927,3507,9413,3478,5874,1632,Texas,9952,2830,4884,1568,31044,5005,1144,933,10839,2613,Texas,8279,2241,13919,3704,4956,1562,13476,5791,17273,5840,Texas,2210,1101,4486,1678,7822,2575,1407,1111,11141,2923,Texas,16056,3746,26287,4939,15869,3608,976,667,12077,2825,Texas,25555,4026,3906,1371,12984,3169,1060,660,5617,2444,Texas,762,574,13199,3708,,,6583,1981,395,415,Texas,18429,4358,9155,3347,2083,1108,4393,1618,2743,1875,Texas,222189,13283,9707,3395,4696,3750,207786,12375
67,Utah,2947423,3093,2435722,19625,390649,17548,97361,7413,369,349,Utah,1630,906,7650,2231,230,243,18154,3634,3964,1432,Utah,295,309,61,103,186,217,2383,1484,1032,848,Utah,2239,1517,6413,1784,1374,672,501,341,301,266,Utah,692,470,220,223,268,317,152,158,672,386,Utah,1029,751,575,313,519,474,1145,983,1221,580,Utah,2115,1028,264,308,5073,2042,340,308,1078,960,Utah,1645,1647,1853,838,1648,1075,254,234,1623,1130,Utah,1214,920,1838,821,2710,1714,0,187,323,299,Utah,496,618,1122,606,8698,2552,,,193,211,Utah,1628,737,5426,1491,138,260,1798,1128,2609,1485,Utah,23691,2638,109,157,0,187,23582,2644
68,Vermont,619952,781,532319,5199,62067,4869,21232,2519,245,319,Vermont,17,30,69,85,0,149,968,493,376,357,Vermont,1379,565,70,95,286,262,442,261,410,434,Vermont,0,149,79,96,265,231,0,149,97,164,Vermont,18,30,199,194,138,238,999,737,561,372,Vermont,2840,758,765,909,10,23,0,149,0,149,Vermont,67,89,0,149,0,149,2496,791,1607,641,Vermont,83,120,3034,722,326,324,0,149,377,224,Vermont,0,149,81,85,327,305,750,623,118,97,Vermont,54,90,435,457,144,141,175,257,,,Vermont,274,200,636,489,0,149,0,149,15,33,Vermont,4334,1885,100,109,0,149,4234,1883
69,Virginia,8283737,4532,6952362,28986,983569,26232,277715,12444,2888,1005,Virginia,1221,661,2181,1029,856,596,24500,4019,3804,1224,Virginia,3594,1307,1199,642,10969,1905,23691,4824,9628,1915,Virginia,1912,996,272,252,9699,2551,2442,1111,1204,627,Virginia,1724,872,2802,1303,3993,1464,1548,904,28155,4261,Virginia,3632,1016,3421,1209,2788,1018,1920,1072,3048,1085,Virginia,27,53,971,576,639,451,865,557,9447,2050,Virginia,973,673,18267,3141,18298,3032,214,266,5961,1701,Virginia,2219,1380,135,135,13379,2548,1623,1058,8906,2579,Virginia,216,356,9637,2390,16685,3214,1763,706,680,588,Virginia,,,4134,1549,7673,2270,1645,788,267,421,Virginia,70091,6318,1945,737,1077,645,67069,6349
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Washington,7089143,3701,5778806,28406,1017221,25445,230907,11515,580,432,Washington,3911,1177,9860,2142,1146,888,45609,4896,7258,2518,Washington,586,371,39,76,407,378,10822,2876,5415,2268,Washington,4386,1465,10311,2337,5794,3254,1611,678,1002,886,Washington,2728,1452,875,715,632,408,655,703,3844,1756,Washington,2600,926,2578,1069,3503,1494,916,670,2535,1112,Washington,4936,1591,301,341,4820,1970,681,596,3214,1334,Washington,878,610,4983,1580,3105,1568,1283,1032,2654,1136,Washington,3736,2047,32570,5221,2857,1096,116,157,2469,880,Washington,457,323,2794,1521,12829,2473,5827,1917,180,156,Washington,5901,1828,,,1098,614,2860,1167,755,562,Washington,62209,7091,683,523,672,426,60854,7056
72,West Virginia,1823753,2120,1610407,10957,167631,9128,42078,4511,240,294,West Virginia,0,189,0,189,7,6,875,682,491,499,West Virginia,570,569,231,337,460,310,2867,1101,777,736,West Virginia,0,189,45,76,349,306,747,626,8,14,West Virginia,103,167,1871,993,0,189,156,181,5308,1794,West Virginia,126,115,524,453,371,354,249,350,367,419,West Virginia,0,189,0,189,0,189,0,189,221,182,West Virginia,161,198,285,181,1846,1118,0,189,6802,1879,West Virginia,177,167,348,340,3925,1178,123,164,1166,608,West Virginia,0,189,968,783,967,637,483,550,147,198,West Virginia,7400,1564,223,363,,,94,154,0,189,West Virginia,3637,1269,565,562,0,189,3072,1120
73,Wisconsin,5708201,3093,4891636,19111,690306,17552,106511,8097,322,272,Wisconsin,188,144,2540,980,289,261,5230,1540,1568,548,Wisconsin,1104,864,88,125,649,824,2589,793,2202,1142,Wisconsin,384,288,302,371,23233,3335,2266,739,5822,1921,Wisconsin,996,595,728,592,1015,619,46,46,895,625,Wisconsin,869,834,4897,1761,19812,2383,684,527,1850,961,Wisconsin,174,172,587,487,692,466,82,98,1142,646,Wisconsin,187,191,2293,840,1525,745,561,354,1705,573,Wisconsin,1432,998,1064,487,1660,995,69,108,324,226,Wisconsin,243,231,2261,1099,4665,1475,468,373,14,23,Wisconsin,2066,1070,2129,888,8,16,,,592,436,Wisconsin,19748,3327,295,226,163,171,19290,3306
